2023-07-25	115
2023-07-26	110
2023-07-27	119
2023-07-28	102
2023-07-29	110
2023-07-30	106
2023-07-31	121
2023-08-01	108
2023-08-02	102
2023-08-03	102
2023-08-04	116
2023-08-05	115
2023-08-06	113
2023-08-07	108
2023-08-08	103
2023-08-09	106
2023-08-10	108
2023-08-11	111
2023-08-12	110
2023-08-13	112
2023-08-14	104
2023-08-15	116
2023-08-16	105
2023-08-17	115
2023-08-18	102
2023-08-19	117
2023-08-20	109
2023-08-21	118
2023-08-22	118
2023-08-23	111
2023-08-24	112
2023-08-25	98
2023-08-26	112
2023-08-27	112
2023-08-28	115
2023-08-29	112
2023-08-30	105
2023-08-31	109
2023-09-01	109
2023-09-02	105
2023-09-03	123
2023-09-04	119
2023-09-05	106
2023-09-06	112
2023-09-07	117
2023-09-08	107
2023-09-09	112
2023-09-10	114
2023-09-11	113
2023-09-12	110
2023-09-13	115
2023-09-14	110
2023-09-15	110
2023-09-16	112
2023-09-17	111
2023-09-18	112
2023-09-19	116
2023-09-20	107
2023-09-21	118
2023-09-22	107
2023-09-23	110
2023-09-24	115
2023-09-25	105
2023-09-26	109
2023-09-27	109
2023-09-28	112
2023-09-29	114
2023-09-30	115
2023-10-01	110
2023-10-02	106
2023-10-03	105
2023-10-04	110
2023-10-05	108
2023-10-06	110
2023-10-07	108
2023-10-08	108
2023-10-09	116
2023-10-10	103
2023-10-11	108
2023-10-12	116
2023-10-13	111
2023-10-14	111
2023-10-15	108
2023-10-16	104
2023-10-17	109
2023-10-18	113
2023-10-19	111
2023-10-20	119
2023-10-21	112
2023-10-22	106
2023-10-23	111
2023-10-24	122
2023-10-25	108
2023-10-26	116
2023-10-27	116
2023-10-28	111
2023-10-29	114
2023-10-30	117
2023-10-31	120
2023-11-01	115
2023-11-02	108
2023-11-03	102
2023-11-04	107
2023-11-05	118
2023-11-06	112
2023-11-07	106
2023-11-08	118
2023-11-09	109
2023-11-10	116
2023-11-11	114
2023-11-12	117
2023-11-13	116
2023-11-14	104
2023-11-15	113
2023-11-16	112
2023-11-17	103
2023-11-18	108
2023-11-19	107
2023-11-20	116
2023-11-21	117
2023-11-22	101
2023-11-23	114
2023-11-24	114
2023-11-25	112
2023-11-26	111
2023-11-27	109
2023-11-28	115
2023-11-29	108
2023-11-30	103
2023-12-01	119
2023-12-02	98
2023-12-03	115
2023-12-04	109
2023-12-05	120
2023-12-06	106
2023-12-07	102
2023-12-08	117
2023-12-09	107
2023-12-10	111
2023-12-11	118
2023-12-12	113
2023-12-13	106
2023-12-14	113
2023-12-15	111
2023-12-16	108
2023-12-17	119
2023-12-18	118
2023-12-19	112
2023-12-20	114
2023-12-21	117
2023-12-22	117
2023-12-23	112
2023-12-24	115
2023-12-25	109
2023-12-26	112
2023-12-27	105
2023-12-28	103
2023-12-29	122
2023-12-30	108
2023-12-31	103
2024-01-01	101
2024-01-02	111
2024-01-03	101
2024-01-04	119
2024-01-05	113
2024-01-06	112
2024-01-07	107
2024-01-08	114
2024-01-09	101
2024-01-10	118
2024-01-11	111
2024-01-12	111
2024-01-13	120
2024-01-14	108
2024-01-15	107
2024-01-16	107
2024-01-17	111
2024-01-18	110
2024-01-19	113
