1, 0, 30, "2018-10-14 16:09:00", 1, 1, 48
2, 0, 30, "2018-10-13 10:08:00", 10, 1, 
3, 0, 30, "2018-10-13 22:12:00", 26, 1, 
4, 0.15, 30, "2018-10-15 02:55:00", 29, 1, 
5, 0.15, 30, "2018-10-15 02:32:00", 38, 1, 42
6, 0.15, 30, "2018-10-14 11:39:00", 40, 1, 
7, 0.15, 30, "2018-10-14 21:23:00", 43, 1, 36
8, 0, 30, "2018-10-15 04:56:00", 55, 1, 28
9, 0.15, 30, "2018-10-13 12:34:00", 60, 1, 
10, 0, 30, "2018-10-13 14:53:00", 65, 1, 
11, 0.15, 30, "2018-10-15 04:32:00", 67, 1, 45
12, 0.15, 30, "2018-10-15 00:33:00", 69, 1, 
13, 0, 30, "2018-10-13 13:50:00", 70, 1, 
14, 0, 30, "2018-10-14 20:12:00", 81, 1, 
15, 0, 30, "2018-10-14 16:07:00", 89, 1, 44
16, 0, 30, "2018-10-13 15:43:00", 90, 1, 24
17, 0.15, 30, "2018-10-13 13:51:00", 91, 1, 
18, 0, 30, "2018-10-14 21:56:00", 93, 1, 
19, 0.15, 30, "2018-10-13 11:27:00", 98, 1, 17
20, 0.15, 30, "2018-10-13 20:03:00", 103, 1, 7
21, 0.15, 30, "2018-10-15 06:56:00", 104, 1, 3
22, 0, 30, "2018-10-15 06:30:00", 114, 1, 9
23, 0, 30, "2018-10-15 05:40:00", 115, 1, 
24, 0, 30, "2018-10-14 19:20:00", 117, 1, 40
25, 0.15, 30, "2018-10-14 01:30:00", 118, 1, 
26, 0, 30, "2018-10-13 13:15:00", 127, 1, 
27, 0.15, 30, "2018-10-13 19:28:00", 133, 1, 9
28, 0.15, 30, "2018-10-13 21:07:00", 134, 1, 9
29, 0, 30, "2018-10-13 18:51:00", 136, 1, 
30, 0.15, 30, "2018-10-13 09:34:00", 144, 1, 34
31, 0, 30, "2018-10-13 16:22:00", 146, 1, 19
32, 0, 30, "2018-10-14 11:24:00", 154, 1, 
33, 0.15, 30, "2018-10-15 03:05:00", 157, 1, 25
34, 0.15, 30, "2018-10-14 13:14:00", 158, 1, 
35, 0, 30, "2018-10-13 16:42:00", 159, 1, 
36, 0, 30, "2018-10-14 09:04:00", 160, 1, 34
37, 0.15, 30, "2018-10-14 20:12:00", 164, 1, 13
38, 0.15, 30, "2018-10-14 02:38:00", 166, 1, 39
39, 0.15, 30, "2018-10-14 17:44:00", 178, 1, 
40, 0.15, 30, "2018-10-14 00:53:00", 181, 1, 
41, 0.15, 30, "2018-10-14 20:07:00", 183, 1, 24
42, 0.15, 30, "2018-10-14 06:05:00", 185, 1, 
43, 0, 30, "2018-10-13 16:50:00", 188, 1, 
44, 0.15, 30, "2018-10-14 17:37:00", 190, 1, 10
45, 0, 30, "2018-10-14 02:07:00", 196, 1, 29
46, 0, 30, "2018-10-13 10:52:00", 199, 1, 44
47, 0, 30, "2018-10-14 02:52:00", 207, 1, 21
48, 0.15, 30, "2018-10-13 21:47:00", 209, 1, 
49, 0.15, 30, "2018-10-15 06:13:00", 221, 1, 
50, 0, 30, "2018-10-14 12:45:00", 224, 1, 
51, 0.15, 30, "2018-10-14 16:14:00", 226, 1, 23
52, 0, 30, "2018-10-14 01:47:00", 238, 1, 49
53, 0.15, 30, "2018-10-13 15:24:00", 241, 1, 
54, 0.15, 30, "2018-10-15 02:37:00", 245, 1, 18
55, 0.15, 30, "2018-10-14 02:22:00", 262, 1, 
56, 0.15, 30, "2018-10-13 23:52:00", 266, 1, 28
57, 0.15, 30, "2018-10-14 02:14:00", 267, 1, 
58, 0.15, 30, "2018-10-14 03:57:00", 270, 1, 
59, 0, 30, "2018-10-13 11:11:00", 272, 1, 2
60, 0.15, 30, "2018-10-13 11:11:00", 275, 1, 
61, 0.15, 30, "2018-10-14 05:03:00", 288, 1, 47
62, 0, 30, "2018-10-14 02:39:00", 290, 1, 
63, 0, 30, "2018-10-14 18:00:00", 291, 1, 
64, 0.15, 30, "2018-10-13 17:05:00", 299, 1, 15
65, 0.15, 30, "2018-10-13 23:25:00", 308, 1, 
66, 0.15, 30, "2018-10-14 05:59:00", 311, 1, 
67, 0.15, 30, "2018-10-15 06:00:00", 312, 1, 
68, 0.15, 30, "2018-10-13 23:41:00", 313, 1, 27
69, 0, 30, "2018-10-14 07:37:00", 315, 1, 
70, 0, 30, "2018-10-14 04:08:00", 319, 1, 46
71, 0, 30, "2018-10-13 13:46:00", 321, 1, 43
72, 0.15, 30, "2018-10-14 16:41:00", 323, 1, 
73, 0.15, 30, "2018-10-15 02:58:00", 326, 1, 24
74, 0, 30, "2018-10-13 08:43:00", 330, 1, 
75, 0, 30, "2018-10-13 17:17:00", 331, 1, 
76, 0.15, 30, "2018-10-14 07:23:00", 336, 1, 20
77, 0, 30, "2018-10-15 01:05:00", 4, 2, 21
78, 0.15, 30, "2018-10-13 23:17:00", 11, 2, 11
79, 0.15, 30, "2018-10-13 10:12:00", 27, 2, 
80, 0.15, 30, "2018-10-13 23:52:00", 28, 2, 2
81, 0.15, 30, "2018-10-15 02:59:00", 30, 2, 32
82, 0.15, 30, "2018-10-14 23:26:00", 33, 2, 29
83, 0.15, 30, "2018-10-14 10:23:00", 36, 2, 
84, 0.15, 30, "2018-10-14 01:14:00", 38, 2, 2
85, 0, 30, "2018-10-13 13:52:00", 41, 2, 22
86, 0.15, 30, "2018-10-13 14:38:00", 46, 2, 
87, 0, 30, "2018-10-14 18:24:00", 47, 2, 28
88, 0.15, 30, "2018-10-13 15:01:00", 53, 2, 5
89, 0, 30, "2018-10-14 23:45:00", 54, 2, 
90, 0.15, 30, "2018-10-13 20:49:00", 66, 2, 
91, 0.15, 30, "2018-10-15 01:30:00", 67, 2, 
92, 0, 30, "2018-10-13 19:08:00", 79, 2, 35
93, 0, 30, "2018-10-13 13:24:00", 89, 2, 
94, 0.15, 30, "2018-10-14 03:15:00", 95, 2, 
95, 0, 30, "2018-10-15 07:49:00", 97, 2, 
96, 0, 30, "2018-10-15 07:48:00", 107, 2, 2
97, 0, 30, "2018-10-14 14:13:00", 109, 2, 
98, 0.15, 30, "2018-10-13 20:52:00", 111, 2, 
99, 0, 30, "2018-10-15 05:13:00", 112, 2, 
100, 0, 30, "2018-10-13 11:08:00", 119, 2, 49
101, 0.15, 30, "2018-10-14 17:01:00", 121, 2, 
102, 0.15, 30, "2018-10-14 06:21:00", 122, 2, 36
103, 0, 30, "2018-10-14 16:44:00", 125, 2, 
104, 0, 30, "2018-10-14 05:09:00", 126, 2, 
105, 0, 30, "2018-10-13 23:41:00", 128, 2, 
106, 0.15, 30, "2018-10-15 03:00:00", 130, 2, 37
107, 0, 30, "2018-10-14 16:37:00", 135, 2, 30
108, 0.15, 30, "2018-10-13 15:06:00", 141, 2, 6
109, 0, 30, "2018-10-14 17:08:00", 145, 2, 
110, 0, 30, "2018-10-14 13:41:00", 149, 2, 
111, 0.15, 30, "2018-10-14 00:27:00", 152, 2, 40
112, 0.15, 30, "2018-10-15 02:23:00", 156, 2, 11
113, 0.15, 30, "2018-10-14 15:15:00", 157, 2, 
114, 0.15, 30, "2018-10-15 07:35:00", 158, 2, 4
115, 0, 30, "2018-10-14 18:38:00", 162, 2, 20
116, 0.15, 30, "2018-10-15 01:25:00", 168, 2, 41
117, 0, 30, "2018-10-14 06:50:00", 172, 2, 
118, 0.15, 30, "2018-10-15 02:23:00", 182, 2, 
119, 0.15, 30, "2018-10-15 05:43:00", 185, 2, 30
120, 0.15, 30, "2018-10-15 02:04:00", 188, 2, 
121, 0, 30, "2018-10-14 07:46:00", 198, 2, 49
122, 0.15, 30, "2018-10-14 14:05:00", 207, 2, 41
123, 0.15, 30, "2018-10-13 15:43:00", 209, 2, 
124, 0, 30, "2018-10-14 16:38:00", 211, 2, 3
125, 0, 30, "2018-10-14 17:18:00", 214, 2, 
126, 0.15, 30, "2018-10-13 13:49:00", 223, 2, 31
127, 0, 30, "2018-10-14 09:08:00", 227, 2, 34
128, 0.15, 30, "2018-10-15 10:33:00", 228, 2, 45
129, 0.15, 30, "2018-10-15 06:32:00", 230, 2, 48
130, 0, 30, "2018-10-13 23:31:00", 234, 2, 10
131, 0, 30, "2018-10-13 20:27:00", 235, 2, 
