1, "3D", , , 2, 1
2, "3D", , , , 2
3, "3D", 1, , , 3
4, "3D", , 1, , 3
5, "2D", , , , 4
6, "2D", 2, , , 5
7, "2D", , 2, , 5
8, "2D", , , , 6
9, "3D", 4, , , 7
10, "3D", , 3, , 7
11, "3D", , , 3, 8
12, "2D", 2, , , 9
13, "2D", , 1, , 9
14, "2D", 2, , , 10
15, "2D", , 3, , 10
16, "2D", 1, , , 11
17, "3D", , 2, , 11
18, "2D", 1, , , 12
19, "2D", , 4, , 12
20, "2D", 2, , , 13
21, "2D", , 2, , 13
22, "2D", 1, , , 14
23, "2D", , 4, , 14
24, "2D", 1, , , 15
25, "2D", , 3, , 15
26, "2D", 1, , , 16
27, "2D", , 5, , 16
28, "2D", , , 3, 17
29, "2D", , , , 18
30, "2D", 2, , , 19
31, "2D", , 1, , 19
32, "2D", 2, , , 20
33, "3D", , 1, , 20
34, "3D", 1, , , 21
35, "2D", , 1, , 21
36, "3D", 1, , , 22
37, "2D", , 3, , 22
38, "2D", 1, , , 23
39, "2D", , 3, , 23
40, "2D", , , 3, 24
41, "3D", , , 5, 25
42, "3D", 1, , , 26
43, "2D", , 1, , 26
44, "2D", , , , 27
45, "2D", 2, , , 28
46, "2D", , 2, , 28
47, "2D", , , 5, 29
48, "2D", 2, , , 30
49, "3D", , 2, , 30
50, "2D", 2, , , 31
51, "3D", , 2, , 31
52, "2D", , , , 32
53, "2D", 5, , , 33
54, "2D", , 1, , 33
55, "2D", , , , 34
56, "3D", , , 1, 35
57, "2D", 3, , , 36
58, "2D", , 4, , 36
59, "3D", , , , 37
60, "3D", 1, , , 38
61, "2D", , 1, , 38
62, "2D", 4, , , 39
63, "2D", , 2, , 39
64, "2D", , , 4, 40
65, "2D", 3, , , 41
66, "2D", , 2, , 41
67, "2D", , , 1, 42
68, "3D", 2, , , 43
69, "2D", , 2, , 43
70, "2D", 3, , , 44
71, "2D", , 2, , 44
72, "3D", 1, , , 45
73, "3D", , 1, , 45
74, "2D", , , 1, 46
75, "2D", , , 2, 47
76, "2D", 4, , , 48
77, "3D", , 3, , 48
78, "2D", 1, , , 49
79, "2D", , 5, , 49
80, "2D", 1, , , 50
81, "2D", , 1, , 50
