1, 8, 0, "2018-10-15", 1, 81
2, 10, 10, "2018-10-15", 1, 39
3, 13, 30, "2018-10-15", 1, 70
4, 19, 20, "2018-10-15", 1, 31
5, 22, 20, "2018-10-15", 1, 33
6, 8, 0, "2018-10-15", 2, 78
7, 10, 20, "2018-10-15", 2, 25
8, 13, 20, "2018-10-15", 2, 15
9, 16, 50, "2018-10-15", 2, 62
10, 19, 50, "2018-10-15", 2, 50
11, 8, 0, "2018-10-15", 3, 65
12, 10, 20, "2018-10-15", 3, 54
13, 16, 40, "2018-10-15", 3, 77
14, 23, 0, "2018-10-15", 3, 57
15, 8, 0, "2018-10-15", 4, 53
16, 14, 20, "2018-10-15", 4, 60
17, 20, 20, "2018-10-15", 4, 77
18, 8, 0, "2018-10-15", 5, 9
19, 14, 40, "2018-10-15", 5, 46
20, 17, 10, "2018-10-15", 5, 59
21, 20, 10, "2018-10-15", 5, 9
22, 8, 0, "2018-10-16", 1, 18
23, 16, 10, "2018-10-16", 1, 30
24, 22, 10, "2018-10-16", 1, 28
25, 8, 0, "2018-10-16", 2, 20
26, 11, 30, "2018-10-16", 2, 75
27, 14, 0, "2018-10-16", 2, 8
28, 17, 0, "2018-10-16", 2, 71
29, 19, 50, "2018-10-16", 2, 7
30, 23, 40, "2018-10-16", 2, 54
31, 8, 0, "2018-10-16", 3, 16
32, 13, 50, "2018-10-16", 3, 52
33, 17, 0, "2018-10-16", 3, 14
34, 20, 30, "2018-10-16", 3, 79
35, 8, 0, "2018-10-16", 4, 56
36, 15, 20, "2018-10-16", 4, 57
37, 21, 0, "2018-10-16", 4, 22
38, 23, 50, "2018-10-16", 4, 38
39, 8, 0, "2018-10-16", 5, 81
40, 10, 10, "2018-10-16", 5, 13
41, 13, 0, "2018-10-16", 5, 71
42, 18, 50, "2018-10-16", 5, 57
43, 8, 0, "2018-10-17", 1, 69
44, 10, 0, "2018-10-17", 1, 39
45, 13, 20, "2018-10-17", 1, 37
46, 16, 0, "2018-10-17", 1, 71
47, 21, 50, "2018-10-17", 1, 79
48, 8, 0, "2018-10-17", 2, 50
49, 10, 40, "2018-10-17", 2, 50
50, 13, 20, "2018-10-17", 2, 26
51, 15, 50, "2018-10-17", 2, 8
52, 21, 50, "2018-10-17", 2, 66
53, 8, 0, "2018-10-17", 3, 33
54, 14, 20, "2018-10-17", 3, 32
55, 17, 40, "2018-10-17", 3, 37
56, 8, 0, "2018-10-17", 4, 17
57, 15, 50, "2018-10-17", 4, 81
58, 21, 0, "2018-10-17", 4, 57
59, 23, 40, "2018-10-17", 4, 65
60, 8, 0, "2018-10-17", 5, 47
61, 10, 40, "2018-10-17", 5, 4
62, 14, 30, "2018-10-17", 5, 5
63, 16, 40, "2018-10-17", 5, 26
64, 19, 10, "2018-10-17", 5, 66
65, 21, 30, "2018-10-17", 5, 72
66, 8, 0, "2018-10-18", 1, 39
67, 11, 20, "2018-10-18", 1, 79
68, 18, 40, "2018-10-18", 1, 1
69, 8, 0, "2018-10-18", 2, 58
70, 15, 40, "2018-10-18", 2, 63
71, 18, 40, "2018-10-18", 2, 24
72, 21, 40, "2018-10-18", 2, 62
73, 8, 0, "2018-10-18", 3, 26
74, 15, 30, "2018-10-18", 3, 17
75, 18, 20, "2018-10-18", 3, 3
76, 22, 10, "2018-10-18", 3, 14
77, 8, 0, "2018-10-18", 4, 73
78, 11, 0, "2018-10-18", 4, 72
79, 19, 0, "2018-10-18", 4, 79
80, 8, 0, "2018-10-18", 5, 22
81, 10, 50, "2018-10-18", 5, 66
82, 13, 10, "2018-10-18", 5, 16
83, 16, 0, "2018-10-18", 5, 58
84, 18, 40, "2018-10-18", 5, 18
85, 21, 50, "2018-10-18", 5, 48
86, 8, 0, "2018-10-19", 1, 3
87, 16, 50, "2018-10-19", 1, 39
88, 20, 10, "2018-10-19", 1, 34
89, 22, 50, "2018-10-19", 1, 35
90, 8, 0, "2018-10-19", 2, 79
91, 13, 20, "2018-10-19", 2, 8
92, 19, 20, "2018-10-19", 2, 79
93, 8, 0, "2018-10-19", 3, 76
94, 11, 20, "2018-10-19", 3, 15
95, 14, 50, "2018-10-19", 3, 6
96, 18, 40, "2018-10-19", 3, 7
97, 8, 0, "2018-10-19", 4, 42
98, 13, 40, "2018-10-19", 4, 42
99, 16, 20, "2018-10-19", 4, 15
100, 19, 50, "2018-10-19", 4, 65
101, 8, 0, "2018-10-19", 5, 20
102, 16, 30, "2018-10-19", 5, 25
103, 19, 30, "2018-10-19", 5, 74
